group,crop,annotator,organelle,all mean,all std,all min_max normalized,all mean_std normalized,disagreement mean,disagreement std,disagreement min_max normalized,disagreement mean_std normalized
group6,03,refinements,np,113.41866325005338,40.45554649913479,0.4447790715688368,-0.8982716270488645,111.22882971008382,34.380539661322956,0.4361914890591522,-0.9407260559900145
group6,03,gt,nucleus,134.86905297936664,63.05089993958332,0.5288982469779084,-0.482411686144061,nan,nan,nan,nan
group6,03,predictions,nucleus,134.76679750957805,62.328132521142265,0.5284972451356003,-0.4843941188252427,134.41471559228347,49.57312129428864,0.527116531734445,-0.49121995123050144
group6,03,refinements,nucleus,134.44688829113647,62.76413056128402,0.5272426991809274,-0.49059621726517055,126.22725398504748,52.03762937220991,0.49500883915704896,-0.649950740885693
group6,03,gt,ne,121.07998124950805,39.63421766170552,0.47482345588042374,-0.749741213815756,nan,nan,nan,nan
group6,03,predictions,ne,124.45583505494525,43.853608533229284,0.48806209825468727,-0.6842933416909022,127.38979851351648,49.66505686708208,0.49956783730790777,-0.6274124231670342
group6,03,refinements,ne,123.81997078610388,43.96679700472578,0.4855685128866819,-0.6966208788872306,126.15994558622734,50.87792182980429,0.4947448846518719,-0.6512556526895794
group6,04,gt,er-mem,54.87483552631579,3.373994729319345,0.41071167502088557,0.853838220585505,nan,nan,nan,nan
group6,04,gt,er-lum,55.24040511727079,3.138978526499434,0.4165143669408062,0.9214742715579596,nan,nan,nan,nan
group6,04,gt,pm,56.388664417151425,3.8046100029608514,0.4347407050341496,1.1339200724612473,nan,nan,nan,nan
group6,04,gt,endo-mem,52.78961453143493,4.375299392724065,0.3776129290703957,0.4680399567579305,nan,nan,nan,nan
group6,04,gt,endo-lum,43.03685074050587,3.8199870375586595,0.2228071546112043,-1.3363727876456122,nan,nan,nan,nan
group6,04,gt,mt-in,53.739530706186144,3.4655226806551034,0.39269096359025624,0.6437891995961881,nan,nan,nan,nan
group6,04,gt,mt-out,52.818271361733565,3.453101392702834,0.37806779939259627,0.4733419153528021,nan,nan,nan,nan
group6,04,gt,er,54.92369620974637,3.3458531715351056,0.4114872414245455,0.8628782057397029,nan,nan,nan,nan
group6,04,gt,endo,44.93527431389796,5.512624533521056,0.2529408621253645,-0.9851349474252978,nan,nan,nan,nan
group6,04,gt,mt,52.99879003871876,3.4748332554282304,0.3809331752177581,0.506740673729162,nan,nan,nan,nan
group6,05,gt,er-mem,137.9427779589175,7.805262651001671,0.6092908777147764,-0.14309222015840578,nan,nan,nan,nan
group6,05,predictions,er-mem,133.81669477234402,14.73983341982209,0.5757454859540164,-0.4239022824832262,133.9090734379129,15.508918515165446,0.576496532015552,-0.4176152403508009
group6,05,refinements,er-mem,136.26595259799453,13.718725378360368,0.5956581512032075,-0.25721241910176623,136.54680827937455,14.131268714875667,0.5979415307266224,-0.2380981410258319
group6,05,gt,er-lum,144.38123494265065,8.443215408321814,0.6616360564443142,0.29509174878363237,nan,nan,nan,nan
group6,05,predictions,er-lum,143.06664336479088,9.657174534309268,0.6509483200389502,0.20562420142256013,141.90567993823757,10.340568246378458,0.6415095929938014,0.12661217053861476
group6,05,refinements,er-lum,143.6046760648882,9.544024685239402,0.6553225696332373,0.24224125183462134,142.62835813030264,10.157615997748854,0.647385025449615,0.17579569374409587
group6,05,gt,endo-mem,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,predictions,endo-mem,141.35,7.336722701588224,0.6369918699186992,0.08879409682722894,141.35,7.336722701588224,0.6369918699186992,0.08879409682722894
group6,05,refinements,endo-mem,143.6206896551724,6.804733611565976,0.655452761424166,0.24333109347920764,143.6206896551724,6.804733611565976,0.655452761424166,0.24333109347920764
group6,05,gt,endo-lum,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,predictions,endo-lum,143.37024747684225,9.308843440012096,0.6534166461531891,0.22628667616486375,143.37024747684225,9.308843440012096,0.6534166461531891,0.22628667616486375
group6,05,refinements,endo-lum,142.74358974358975,9.955588428611078,0.648321867834063,0.18363804569042547,142.74358974358975,9.955588428611078,0.648321867834063,0.18363804569042547
group6,05,gt,vesicle-mem,136.69634849455477,6.7509493097806645,0.5991573048337786,-0.22792083842527563,nan,nan,nan,nan
group6,05,predictions,vesicle-mem,124.51086956521739,11.148693202049358,0.5000883704489218,-1.0572315776609196,124.51086956521739,11.148693202049358,0.5000883704489218,-1.0572315776609196
group6,05,refinements,vesicle-mem,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,gt,vesicle-lum,132.16116988176728,6.458679008651108,0.562285933998108,-0.5365728290238096,nan,nan,nan,nan
group6,05,predictions,vesicle-lum,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,refinements,vesicle-lum,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,gt,ne-mem,134.70820230625765,8.557549778880325,0.5829935146850215,-0.3632286908852751,nan,nan,nan,nan
group6,05,predictions,ne-mem,132.23594793213647,8.996534609769622,0.5628938856271257,-0.5314836371594694,132.42935833860113,9.85536658705062,0.5644663279561067,-0.518320647990869
group6,05,refinements,ne-mem,131.69810743877457,8.288076990661382,0.5585211986892241,-0.5680876065009579,131.60291352549888,8.907545242269414,0.5577472644349503,-0.5745662467782254
group6,05,gt,ne-lum,135.90438676107263,9.021042382465849,0.592718591553436,-0.28181961207619605,nan,nan,nan,nan
group6,05,predictions,ne-lum,139.67113083445597,8.247384507435495,0.6233425271093981,-0.02546519793099176,139.0244457478492,9.248510678843976,0.6180849247792618,-0.06947683590899009
group6,05,refinements,ne-lum,139.6724723052576,8.246227569591213,0.6233534333760781,-0.025373901056357822,139.0297009439306,9.244835738336976,0.6181276499506554,-0.06911918147682762
group6,05,gt,np-out,139.77652266487365,8.820605148997378,0.6241993712591354,-0.018292514994200305,nan,nan,nan,nan
group6,05,predictions,np-out,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,refinements,np-out,nan,nan,nan,nan,nan,nan,nan,nan
group6,05,gt,np-in,147.00219860754856,7.852174600323099,0.6829447041264111,0.4734674471907894,nan,nan,nan,nan
group6,05,predictions,np-in,140.33176764775453,9.629543157234199,0.6287135581118255,0.019495956831983685,138.96667741753825,9.445264223448987,0.6176152635572215,-0.07340839223044422
group6,05,refinements,np-in,139.1616408934708,9.066404379507937,0.6192003324672423,-0.06013970535427163,137.6987362759305,8.65707224776489,0.6073067989913048,-0.15970103707039557
group6,05,gt,hchrom,130.1339904491458,8.648578998385453,0.5458048003995595,-0.6745371785236959,nan,nan,nan,nan
group6,05,predictions,hchrom,nan,nan,nan,nan,nan,nan,nan,nan
